Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
1.4307011,0.04574835,8.36,2792.0,0.075698785,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4307011,0.33181328,0.010610119
1.4310019,0.04574835,8.4,2792.0,0.07599954,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4310019,0.33188304,0.010610119
1.4312999,0.04574835,8.44,2792.0,0.07629762,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4312999,0.33195215,0.010610119
1.4317029,0.04585579,8.48,2795.0,0.07659309,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4317029,0.3320456,0.010635038
1.4320316,0.045891613,8.52,2796.0,0.076886036,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4320316,0.33212185,0.010643345
1.4323579,0.04592744,8.56,2797.0,0.07717651,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4323579,0.33219752,0.010651655
1.4327209,0.046002295,8.6,2800.0,0.077464595,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4327209,0.3322817,0.010669015
1.4330425,0.046038143,8.64,2801.0,0.077750355,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4330425,0.3323563,0.010677329
1.433326,0.046038143,8.68,2801.0,0.07803385,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.433326,0.33242205,0.010677329
1.433679,0.046109863,8.72,2803.0,0.07831514,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.433679,0.3325039,0.010693963
1.4339582,0.046109863,8.76,2803.0,0.07859428,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4339582,0.33256868,0.010693963
1.4343429,0.04621749,8.8,2806.0,0.07887134,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4343429,0.33265787,0.010718924
1.4346708,0.0462705,8.84,2808.0,0.07914636,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4346708,0.33273396,0.010731218
1.4349798,0.046306394,8.88,2809.0,0.0794194,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4349798,0.3328056,0.0107395435
1.4352509,0.046306394,8.92,2809.0,0.0796905,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4352509,0.3328685,0.0107395435
1.43552,0.046306394,8.96,2809.0,0.07995972,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.43552,0.3329309,0.0107395435
1.4358406,0.046359453,9.0,2811.0,0.0802271,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4358406,0.33300525,0.010751849
1.4358406,0.046359453,9.0,2811.0,0.0802271,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4358406,0.33300525,0.010751849
1.4358406,0.046359453,9.0,2811.0,0.0802271,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4358406,0.33300525,0.010751849
1.4358406,0.046359453,9.0,2811.0,0.0802271,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4358406,0.33300525,0.010751849
1.4367051,0.04648098,9.11,2816.0,0.080953576,1.3092613,9.288023e-06,39974.0,1.308403,1.8589168e-05,0,9.293523e-06,1.4366958,0.33320576,0.010780034
1.4394413,0.04678083,9.22,2828.0,0.08169832,1.3100048,0.0009607856,39974.0,1.308403,0.0019229267,0,0.0009557881,1.4384855,0.33384034,0.0108495755
1.443587,0.047285695,9.33,2848.0,0.08246782,1.3112674,0.002588889,39974.0,1.308403,0.005181347,0,0.0025629906,1.441024,0.33480182,0.010966666
1.4486945,0.047980644,9.44,2873.0,0.08325992,1.3128595,0.0046569146,39974.0,1.308403,0.009320366,0,0.0045897644,1.4441048,0.33598638,0.011127842
1.4543904,0.048522905,9.55,2894.0,0.0840754,1.3147682,0.00715539,39974.0,1.308403,0.014321053,0,0.0070195226,1.4473709,0.3373074,0.011253605
1.4607526,0.04913838,9.66,2919.0,0.08491316,1.3169277,0.010002296,39974.0,1.308403,0.02001919,0,0.009768465,1.4509841,0.33878294,0.011396348
1.4675896,0.04979099,9.77,2945.0,0.08577136,1.3192712,0.013109446,39974.0,1.308403,0.026238209,0,0.012751807,1.4548378,0.3403686,0.011547703
1.475033,0.050565224,9.88,2971.0,0.086650625,1.3218198,0.016508523,39974.0,1.308403,0.03304154,0,0.015996069,1.459037,0.3420949,0.011727266
1.4828403,0.05123171,9.99,2995.0,0.08755132,1.3245672,0.020194368,39974.0,1.308403,0.04041884,0,0.019493556,1.4633467,0.3439056,0.0118818395
1.4910972,0.05185748,10.1,3018.0,0.08847439,1.3275237,0.02418534,39974.0,1.308403,0.048406877,0,0.02325718,1.46784,0.34582055,0.01202697
1.4998416,0.05254575,10.21,3045.0,0.08941876,1.3306588,0.028440097,39974.0,1.308403,0.056922868,0,0.027248085,1.4725935,0.3478486,0.012186596
1.5090922,0.05337591,10.32,3075.0,0.09038349,1.3339429,0.032916248,39974.0,1.308403,0.065881945,0,0.031428717,1.4776634,0.34999403,0.01237913
1.5192175,0.05474926,10.43,3119.0,0.09136863,1.3373653,0.037597757,39974.0,1.308403,0.075252004,0,0.035785284,1.4834323,0.3523423,0.012697643
1.5297712,0.056043874,10.54,3171.0,0.09237625,1.3409965,0.042594496,39974.0,1.308403,0.085253015,0,0.040407907,1.4893633,0.35478997,0.012997895
1.5399718,0.056593176,10.65,3191.0,0.0934067,1.3447969,0.04784776,39974.0,1.308403,0.09576744,0,0.0452458,1.4947261,0.35715574,0.01312529
1.551021,0.05761997,10.76,3225.0,0.094457395,1.3487489,0.053331185,39974.0,1.308403,0.10674251,0,0.05027664,1.5007443,0.3597183,0.013363428
1.5626593,0.058894794,10.87,3267.0,0.09552876,1.3528401,0.059025217,39974.0,1.308403,0.118139066,0,0.055484653,1.5071746,0.3624175,0.01365909
1.5744786,0.060016822,10.98,3308.0,0.096620955,1.3570741,0.064935595,39974.0,1.308403,0.12996861,0,0.060874548,1.513604,0.36515868,0.013919314
1.5869852,0.061363798,11.09,3355.0,0.09773448,1.3615075,0.07115495,39974.0,1.308403,0.1424166,0,0.066518225,1.520467,0.36805925,0.01423171
1.5998777,0.06271545,11.2,3396.0,0.09886777,1.3661029,0.077623695,39974.0,1.308403,0.15536371,0,0.07236807,1.5275096,0.3710493,0.014545189
1.6131624,0.06412572,11.31,3443.0,0.100019634,1.3708291,0.08428978,39974.0,1.308403,0.16870575,0,0.078384444,1.534778,0.37413034,0.014872264
1.6269448,0.06565656,11.42,3496.0,0.101194665,1.37574,0.09118203,39973.0,1.308403,0.18250044,0,0.084592216,1.5423526,0.37732682,0.015227302
1.6412702,0.06735784,11.53,3553.0,0.10238645,1.3807749,0.09831895,39973.0,1.308403,0.19678482,0,0.09100137,1.5502688,0.3806492,0.015621869
1.6558266,0.06884894,11.64,3607.0,0.103601374,1.3859997,0.1057522,39973.0,1.308403,0.21166232,0,0.09765226,1.5581743,0.3840252,0.01596769
1.6708549,0.07045104,11.75,3669.0,0.104836345,1.3913713,0.11340759,39973.0,1.308403,0.22698443,0,0.10449013,1.5663648,0.3875106,0.016339255
1.6866128,0.07244891,11.86,3734.0,0.10609195,1.3968803,0.12126694,39973.0,1.308403,0.2427147,0,0.111502886,1.57511,0.39116523,0.016802609
1.7026763,0.07434536,11.97,3799.0,0.10736848,1.4025555,0.12937932,39973.0,1.308403,0.25895143,0,0.11872719,1.5839491,0.39489073,0.01724244
1.7205769,0.07769053,12.08,3900.0,0.10866701,1.408404,0.13775629,39973.0,1.308403,0.27571774,0,0.12617202,1.5944049,0.3990423,0.018018262
1.7376012,0.079715215,12.19,3966.0,0.10998486,1.4144311,0.14640673,39973.0,1.308403,0.2930314,0,0.13384435,1.6037568,0.40299064,0.018487835
1.7552605,0.08217241,12.3,4046.0,0.11132248,1.4205248,0.15513355,39973.0,1.308403,0.310498,0,0.14160137,1.613659,0.40708625,0.019057717
1.7717447,0.08453285,12.41,4122.0,0.11266858,1.4261631,0.16298327,39972.0,1.308403,0.326209,0,0.14873323,1.6230115,0.41090932,0.019605158
1.7856929,0.08647744,12.52,4186.0,0.11399923,1.4308944,0.16930626,39971.0,1.308403,0.3388645,0,0.15471019,1.6309828,0.41414425,0.020056156
1.7986017,0.088354684,12.63,4248.0,0.115310945,1.4351916,0.17501046,39971.0,1.308403,0.35028142,0,0.16018017,1.6384217,0.4171381,0.020491531
1.8110979,0.090383574,12.74,4312.0,0.11661025,1.4392722,0.18032351,39970.0,1.308403,0.36091557,0,0.16532847,1.6457694,0.42003626,0.02096208
1.8231524,0.092462465,12.85,4375.0,0.11789416,1.4431181,0.18534192,39970.0,1.308403,0.37096015,0,0.17022373,1.6529287,0.42283198,0.021444224
1.8342034,0.09384391,12.96,4425.0,0.11917116,1.4468371,0.19012257,39969.0,1.308403,0.38052896,0,0.17491145,1.659292,0.42539495,0.021764612
1.8451701,0.095474936,13.07,4480.0,0.12043704,1.4503887,0.19470303,39969.0,1.308403,0.38969734,0,0.179432,1.6657382,0.4279384,0.022142885
1.8560977,0.09735856,13.18,4532.0,0.12169547,1.4538227,0.19911039,39969.0,1.308403,0.3985194,0,0.18380298,1.6722947,0.43047276,0.022579743
1.8662199,0.0986925,13.29,4578.0,0.12294431,1.4571526,0.20336515,39969.0,1.308403,0.407036,0,0.18804143,1.6781784,0.43282035,0.022889115
