Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
1.7764682,0.087600544,10.87,4262.0,0.28131944,1.3529769,0.05902129,39970.0,1.308403,0.118139066,0,0.05548647,1.7209817,0.4120048,0.020316629
1.7900417,0.08943976,10.98,4324.0,0.28348872,1.3572468,0.064931236,39969.0,1.308403,0.12996861,0,0.060878098,1.7291635,0.41515282,0.020743186
1.8045074,0.09164313,11.09,4390.0,0.28575382,1.3617163,0.07115015,39968.0,1.308403,0.1424166,0,0.06652381,1.7379835,0.41850775,0.0212542
1.8193738,0.09385758,11.2,4458.0,0.28808612,1.3663127,0.07761841,39968.0,1.308403,0.15536371,0,0.072374135,1.7469997,0.42195565,0.021767782
1.8349864,0.096475616,11.31,4535.0,0.2904822,1.37104,0.084284,39968.0,1.308403,0.16870575,0,0.07839099,1.7565954,0.42557657,0.022374967
1.8510271,0.09907861,11.42,4609.0,0.29293343,1.3759159,0.09117572,39968.0,1.308403,0.18250044,0,0.08459704,1.76643,0.4292968,0.022978663
1.867345,0.10149496,11.53,4687.0,0.29548132,1.3809516,0.098312095,39968.0,1.308403,0.19678482,0,0.091006525,1.7763385,0.43308127,0.023539072
1.884591,0.104316264,11.64,4779.0,0.29812017,1.3861773,0.105744764,39968.0,1.308403,0.21166232,0,0.09765775,1.7869333,0.43708104,0.024193399
1.901968,0.10688236,11.75,4849.0,0.30083936,1.39155,0.11339955,39968.0,1.308403,0.22698443,0,0.10449596,1.7974721,0.44111118,0.024788538
1.9201983,0.109939255,11.86,4940.0,0.3036156,1.3970599,0.12125826,39968.0,1.308403,0.2427147,0,0.11150904,1.8086894,0.4453392,0.025497502
1.9395734,0.11365034,11.97,5049.0,0.30644983,1.4027361,0.12936997,39968.0,1.308403,0.25895143,0,0.118733674,1.8208396,0.44983274,0.026358189
1.9594316,0.11733313,12.08,5150.0,0.3093801,1.4085855,0.13774623,39968.0,1.308403,0.27571774,0,0.12617883,1.8332528,0.45443833,0.027212316
1.9795895,0.12075694,12.19,5253.0,0.31241626,1.4146518,0.14639594,39967.0,1.308403,0.2930314,0,0.13385487,1.8457346,0.45911342,0.028006379
2.0005643,0.124820285,12.3,5362.0,0.31552842,1.4207851,0.15512195,39966.0,1.308403,0.310498,0,0.14161599,1.8589483,0.463978,0.028948763
2.0200074,0.12844029,12.41,5460.0,0.31858787,1.4264255,0.16297084,39965.0,1.308403,0.326209,0,0.14874925,1.8712581,0.4684873,0.029788328
2.0370464,0.13199231,12.52,5561.0,0.3215426,1.4311188,0.1692932,39965.0,1.308403,0.3388645,0,0.15472251,1.882324,0.47243905,0.030612126
2.0526078,0.13498886,12.63,5644.0,0.32433233,1.4354169,0.17499678,39965.0,1.308403,0.35028142,0,0.16019277,1.8924149,0.47604808,0.031307094
2.0669727,0.13749987,12.74,5725.0,0.3270921,1.439459,0.18030924,39965.0,1.308403,0.36091557,0,0.16533698,1.9016358,0.47937965,0.031889457
2.0816512,0.14082749,12.85,5814.0,0.32974124,1.4433054,0.18532707,39965.0,1.308403,0.37096015,0,0.17023231,1.9114189,0.48278394,0.03266121
2.09557,0.14375496,12.96,5892.0,0.3323407,1.4470325,0.19010714,39964.0,1.308403,0.38052896,0,0.17492966,1.9206403,0.48601204,0.03334016
2.108927,0.14650214,13.07,5972.0,0.33488542,1.4506246,0.19468711,39963.0,1.308403,0.38969734,0,0.17945513,1.9294719,0.48910984,0.033977296
2.1218462,0.14918217,13.18,6046.0,0.33736813,1.454091,0.19909398,39962.0,1.308403,0.3985194,0,0.18382034,1.938026,0.4921061,0.034598857
2.1342158,0.1515365,13.29,6113.0,0.3397697,1.4574621,0.20334819,39961.0,1.308403,0.407036,0,0.18806396,1.946152,0.4949749,0.03514488
2.1461763,0.15382893,13.4,6174.0,0.3421451,1.4606994,0.20746584,39961.0,1.308403,0.41527942,0,0.19218369,1.9539927,0.49774882,0.035676554
2.1586978,0.15680125,13.51,6257.0,0.3444504,1.4638926,0.21146,39960.0,1.308403,0.42327568,0,0.19620067,1.9624972,0.50065285,0.036365904
2.1703131,0.15916999,13.62,6331.0,0.34674847,1.4669673,0.21534142,39960.0,1.308403,0.43104643,0,0.20011342,1.9701997,0.50334674,0.03691527
2.1818488,0.1616906,13.73,6398.0,0.34897843,1.4699703,0.21911924,39960.0,1.308403,0.4386098,0,0.2039349,1.977914,0.5060221,0.037499856
2.1931539,0.16401334,13.84,6464.0,0.3511703,1.472983,0.22280121,39958.0,1.308403,0.4459814,0,0.20767479,1.985479,0.50864404,0.038038556
2.2043846,0.16655521,13.95,6534.0,0.35334158,1.4758576,0.22639386,39958.0,1.308403,0.45317474,0,0.21133266,1.993052,0.5112487,0.038628075
2.2159889,0.16962679,14.06,6619.0,0.35546374,1.4787146,0.22990334,39957.0,1.308403,0.46020162,0,0.2149211,2.0010676,0.51394,0.039340448
2.2269504,0.17226106,14.17,6689.0,0.35752437,1.4814768,0.23333478,39957.0,1.308403,0.46707252,0,0.21843575,2.0085146,0.51648223,0.039951395
2.2375286,0.17460188,14.28,6748.0,0.35955146,1.4841875,0.23669292,39957.0,1.308403,0.4737967,0,0.22188501,2.0156436,0.51893556,0.04049429
2.2480855,0.17710929,14.39,6824.0,0.3615775,1.4868497,0.23998195,39957.0,1.308403,0.48038253,0,0.22527246,2.022813,0.52138394,0.041075815
2.2583094,0.17935482,14.5,6883.0,0.3635518,1.4894989,0.24320564,39956.0,1.308403,0.48683757,0,0.22859602,2.0297134,0.52375513,0.041596606
2.26896,0.18224995,14.61,6958.0,0.3654997,1.4920714,0.24636738,39956.0,1.308403,0.49316868,0,0.23186934,2.0370905,0.52622527,0.042268056
2.2787337,0.1843657,14.72,7017.0,0.3673842,1.4946023,0.24947034,39956.0,1.308403,0.49938208,0,0.23508973,2.043644,0.52849203,0.042758748
2.289191,0.18733315,14.83,7094.0,0.36925566,1.4970936,0.25251737,39956.0,1.308403,0.5054835,0,0.23825967,2.0509315,0.5309173,0.04344697
2.2988071,0.1895226,14.94,7152.0,0.37106925,1.499547,0.2555111,39956.0,1.308403,0.5114783,0,0.24138144,2.0574255,0.5331475,0.043954752
2.308393,0.1917237,15.05,7216.0,0.3728952,1.5019983,0.25845402,39955.0,1.308403,0.5173713,0,0.24445264,2.0639405,0.5353707,0.044465244
2.3175685,0.19371182,15.16,7271.0,0.3746931,1.504381,0.26134834,39955.0,1.308403,0.523167,0,0.24748427,2.070084,0.5374987,0.04492633
2.3280656,0.19708005,15.27,7357.0,0.37643576,1.5067303,0.2641962,39955.0,1.308403,0.5288698,0,0.25047362,2.077592,0.53993326,0.045707505
2.3373055,0.19921297,15.38,7421.0,0.3781856,1.5090905,0.26699957,39954.0,1.308403,0.5344835,0,0.25342873,2.0838768,0.5420762,0.04620218
2.3467915,0.20173447,15.49,7482.0,0.379915,1.5113776,0.2697603,39954.0,1.308403,0.5400119,0,0.25633857,2.090453,0.54427624,0.046786975
2.3560987,0.20415051,15.6,7549.0,0.38163427,1.5136714,0.27248016,39953.0,1.308403,0.54545844,0,0.2592089,2.0968897,0.54643476,0.04734731
2.3657355,0.207031,15.71,7616.0,0.3833039,1.5159006,0.2751607,39953.0,1.308403,0.55082643,0,0.26204523,2.1036904,0.54866976,0.048015364
2.3756468,0.2102484,15.82,7699.0,0.38495153,1.5181026,0.27780357,39953.0,1.308403,0.5561191,0,0.26484692,2.1108,0.55096847,0.048761554
2.3842165,0.21221873,15.93,7752.0,0.3865902,1.5202785,0.2804103,39953.0,1.308403,0.5613392,0,0.2676152,2.1166012,0.552956,0.04921852
2.3940442,0.21551912,16.04,7838.0,0.38819772,1.5224289,0.2829822,39953.0,1.308403,0.56648976,0,0.2703513,2.123693,0.5552352,0.04998396
2.4031785,0.21816522,16.15,7908.0,0.38978973,1.524555,0.2855207,39953.0,1.308403,0.5715733,0,0.2730564,2.130122,0.5573537,0.050597653
2.4122832,0.22089253,16.26,7978.0,0.3913829,1.5266577,0.28802708,39953.0,1.308403,0.5765925,0,0.27573162,2.1365516,0.5594653,0.05123018
2.4223475,0.22457926,16.37,8067.0,0.39294732,1.5287731,0.29050252,39952.0,1.308403,0.58154976,0,0.27837443,2.143973,0.56179947,0.05208522
2.4305165,0.22648527,16.48,8117.0,0.39449987,1.5308312,0.29294816,39952.0,1.308403,0.5864475,0,0.28099304,2.1495233,0.563694,0.052527267
2.4395363,0.2292641,16.59,8188.0,0.396038,1.5329082,0.2953652,39951.0,1.308403,0.5912879,0,0.2835867,2.1559496,0.56578594,0.053171743
2.4478273,0.23140882,16.7,8242.0,0.39754996,1.534925,0.29775465,39951.0,1.308403,0.5960732,0,0.28615263,2.1616747,0.5677088,0.053669155
