Diff,Tau,Ramp,LoadD,LoadD_tag,is_avg,ms_nr,ms_nr_ratio,Fo_diff,Fo_visc,Slip_unload,Slip_Ratio,Mech_unload,Total_unload,Mech_Ratio,SlipCount_unload,Plastic_unload,Mech_no_Plastic,Mech_max_unload,Mech_max_ratio,Slip_end,BrokenFibers_unload,BrokenFibers_end,Slip_per_strain_unload,Slip_per_strain_end,CSV_path
100.0,0.0001,0.0,0.65,0p65,False,,,0.10723716840243021,50.29470779312352,0.2210467,0.10612071970173416,0.1782905,2.082974,0.08559420328818314,9073.0,0.11134270999061918,-0.025748506702436044,0.18366653,0.08817514284863853,17742.0,39811.0,39668.0,4355.791286881161,76499.20790852277,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p65/Tau_0.0001/all.csv
100.0,0.001,0.0,0.65,0p65,False,,,0.10723716840243021,5.029470779312351,0.22019252,0.10569146260449507,0.17550865,2.083352,0.08424339717916127,9034.0,0.1115009369516049,-0.027257539772443634,0.18110622,0.08693020670534793,17715.0,39814.0,39670.0,4336.281146920924,76260.55927854024,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p65/Tau_0.001/all.csv
100.0,0.01,0.0,0.65,0p65,False,,,0.10723716840243021,0.5029470779312348,0.21378584,0.10225241403185446,0.14887162,2.0907657,0.07120435350551237,8815.0,0.11057896157374306,-0.03937460806823069,0.15460713,0.0739476116333839,17482.0,39826.0,39674.0,4216.158702048728,75615.92026114785,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p65/Tau_0.01/all.csv
100.0,0.1,0.0,0.65,0p65,False,,,0.10723716840243021,0.05029470779312349,0.20607468,0.09839002491898656,0.12826839,2.0944672,0.061241536749775796,8727.0,0.1092315506301555,-0.0479900138803797,0.13406563,0.06400941967484618,17296.0,39823.0,39663.0,4166.69213058099,75600.38621936437,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p65/Tau_0.1/all.csv
100.0,0.0001,0.0,0.7,0p7,False,0.064078264,0.028048045221957398,0.10723716840243021,50.29470779312352,0.29294804,0.12822787885770104,0.23667166,2.2845893,0.10359483868719863,10862.0,0.10936370488997738,-0.00576886620277875,0.24227543,0.1060476953122384,21231.0,39780.0,39613.0,4754.465058555601,84974.5938731921,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p7/Tau_0.0001/all.csv
100.0,0.001,0.0,0.7,0p7,False,0.065030076,0.028455358897443866,0.10723716840243021,5.029470779312351,0.2922724,0.1278903016785229,0.23245317,2.2853367,0.10171506456794746,10824.0,0.10962669089416888,-0.007911626326221416,0.2402543,0.1051286228414395,21245.0,39784.0,39611.0,4736.282404251417,84798.90346176705,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p7/Tau_0.001/all.csv
100.0,0.01,0.0,0.7,0p7,False,0.064517364,0.028165084171291915,0.10723716840243021,0.5029470779312348,0.28289452,0.12349772950111887,0.19807154,2.290686,0.08646821956392102,10577.0,0.10883630929773876,-0.022368089733817736,0.21428409,0.09354581553298881,20897.0,39791.0,39613.0,4617.394090678513,83819.4052612691,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p7/Tau_0.01/all.csv
100.0,0.1,0.0,0.7,0p7,False,0.062118147,0.027100586968582842,0.10723716840243021,0.05029470779312349,0.27209613,0.11870870576483589,0.17934945,2.2921329,0.07824565931582762,10385.0,0.10748234973635255,-0.02923669042052493,0.18925793,0.0825684802133419,20580.0,39799.0,39616.0,4530.714602107059,83534.9896939011,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p7/Tau_0.1/all.csv
100.0,0.0001,0.0,0.8,0p8,False,0.116338804,0.042101177980198926,0.10723716840243021,50.29470779312352,0.51293045,0.18562143862948366,0.42078584,2.7633147,0.15227575780637653,15662.0,0.11016578748703505,0.04210997031934148,0.42700273,0.1545255522289951,30804.0,39704.0,39423.0,5667.830739654806,101188.23580656294,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p8/Tau_0.0001/all.csv
100.0,0.001,0.0,0.8,0p8,False,0.11879022,0.042990375913389986,0.10723716840243021,5.029470779312351,0.5111479,0.18498526535551388,0.41508296,2.7631817,0.15021920563530078,15607.0,0.11082687034298178,0.039392335292319,0.42390037,0.15341024081043966,30756.0,39707.0,39422.0,5648.198958468783,100432.74640457235,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p8/Tau_0.001/all.csv
100.0,0.01,0.0,0.8,0p8,False,0.119601995,0.04326243801475022,0.10723716840243021,0.5029470779312348,0.4952556,0.17914387378285732,0.37658563,2.764569,0.13621856788526532,15138.0,0.11047308640153311,0.025745481483732208,0.39511424,0.14292073737352912,30182.0,39738.0,39429.0,5475.717914799739,98824.37887607455,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p8/Tau_0.01/all.csv
100.0,0.1,0.0,0.8,0p8,False,0.11641492,0.042211926024015654,0.10723716840243021,0.05029470779312349,0.47441617,0.1720227980454467,0.3518086,2.757868,0.1275654237258636,14834.0,0.10913202517306846,0.018433398552795147,0.36313257,0.13167148318918814,29615.0,39746.0,39421.0,5378.792603561881,98397.94914950813,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p8/Tau_0.1/all.csv
100.0,0.0001,0.0,0.9,0p9,False,,,0.10723716840243021,50.29470779312352,0.93596065,0.27177891423824224,,3.443831,,23168.0,0.11774214530271665,,,,45958.0,39604.0,39145.0,6727.391675143176,113341.07963062913,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p9/Tau_0.0001/all.csv
